model_id,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,macro_f1_fold_std,micro_f1_fold_std,masked_bce_fold_std,fold_count,seed_count_per_fold
B5,persistent.drop.phone_acc,drop,phone_acc,30,fault,0.600803310221,0.74408218334,0.379611964213,0.0346300084853,0.0330468677348,0.0498918103854,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,30,post,0.623311958506,0.747988393757,0.368156898639,0.0371266262418,0.0362122409538,0.0430047872367,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,30,pre,0.611009263679,0.744022589946,0.367013674881,0.0515236655943,0.0347706093912,0.0362237239316,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,5,fault,0.604357796622,0.711975862405,0.415331155888,0.0307933867194,0.0347928839975,0.0330252423952,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,5,post,0.609633868234,0.714235591209,0.408229581824,0.0287469879351,0.032879051538,0.0340283362192,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,5,pre,0.610742562492,0.715858786293,0.403985129014,0.032372668872,0.0310255664885,0.0295303408948,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,15,fault,0.614943105485,0.730428171561,0.389666719082,0.0354923421373,0.031765198111,0.0351676145674,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,15,post,0.619910817274,0.733086850253,0.381035178399,0.0436681983335,0.0293040088037,0.0283394122733,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,15,pre,0.607939400158,0.729687723789,0.383252795272,0.0398605597767,0.0350395622733,0.0392529771147,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,30,fault,0.603262510222,0.74521251405,0.373347819856,0.0367364622381,0.033968886605,0.0428185359885,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,30,post,0.623311958506,0.747988393757,0.368156898639,0.0371266262418,0.0362122409538,0.0430047872367,5,3
B5,persistent.drop.phone_gyro,drop,phone_gyro,30,pre,0.611009263679,0.744022589946,0.367013674881,0.0515236655943,0.0347706093912,0.0362237239316,5,3
B5,persistent.drop.phone_state,drop,phone_state,5,fault,0.585841201541,0.682919014912,0.443639129065,0.0383370694421,0.031559856431,0.038975782432,5,3
B5,persistent.drop.phone_state,drop,phone_state,5,post,0.609633868234,0.714235591209,0.408229581824,0.0287469879351,0.032879051538,0.0340283362192,5,3
B5,persistent.drop.phone_state,drop,phone_state,5,pre,0.610742562492,0.715858786293,0.403985129014,0.032372668872,0.0310255664885,0.0295303408948,5,3
B5,persistent.drop.phone_state,drop,phone_state,15,fault,0.596245943673,0.70165769823,0.420408306692,0.0432309484422,0.0338854039438,0.0555338726856,5,3
B5,persistent.drop.phone_state,drop,phone_state,15,post,0.619910817274,0.733086850253,0.381035178399,0.0436681983335,0.0293040088037,0.0283394122733,5,3
B5,persistent.drop.phone_state,drop,phone_state,15,pre,0.607939400158,0.729687723789,0.383252795272,0.0398605597767,0.0350395622733,0.0392529771147,5,3
B5,persistent.drop.phone_state,drop,phone_state,30,fault,0.58713475624,0.713483518717,0.410470400885,0.0493738863335,0.0370751969253,0.0654586857319,5,3
B5,persistent.drop.phone_state,drop,phone_state,30,post,0.623311958506,0.747988393757,0.368156898639,0.0371266262418,0.0362122409538,0.0430047872367,5,3
B5,persistent.drop.phone_state,drop,phone_state,30,pre,0.611009263679,0.744022589946,0.367013674881,0.0515236655943,0.0347706093912,0.0362237239316,5,3
B5,persistent.drop.watch_acc,drop,watch_acc,5,fault,0.580278546115,0.698019022394,0.42912538024,0.0196477662793,0.0377981469437,0.0380181710006,5,3
B5,persistent.drop.watch_acc,drop,watch_acc,5,post,0.609633868234,0.714235591209,0.408229581824,0.0287469879351,0.032879051538,0.0340283362192,5,3
B5,persistent.drop.watch_acc,drop,watch_acc,5,pre,0.610742562492,0.715858786293,0.403985129014,0.032372668872,0.0310255664885,0.0295303408948,5,3
B5,persistent.drop.watch_acc,drop,watch_acc,15,fault,0.595144930639,0.718296117052,0.405779496398,0.0140908851728,0.0358867772315,0.0384122215196,5,3
