model_id,fold,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,2,mask.100001,2,phone_acc|phone_state,phone_gyro|watch_acc|location|audio,0.472518472174,0.659003279101,0.481794502165,0.158942772034,3
B4,2,mask.100010,2,phone_acc|audio,phone_gyro|watch_acc|location|phone_state,0.457184786063,0.645946271999,0.454929870317,0.149401973952,3
B4,2,mask.100011,3,phone_acc|audio|phone_state,phone_gyro|watch_acc|location,0.510705267624,0.673400222335,0.512873560176,0.144853550385,3
B4,2,mask.100100,2,phone_acc|location,phone_gyro|watch_acc|audio|phone_state,0.427549566834,0.575294274445,0.419416877775,0.178723160719,3
B4,2,mask.100101,3,phone_acc|location|phone_state,phone_gyro|watch_acc|audio,0.534278154471,0.6782044646,0.533948355473,0.143434686698,3
B4,2,mask.100110,3,phone_acc|location|audio,phone_gyro|watch_acc|phone_state,0.497445171674,0.643182676926,0.481055266342,0.144282599766,3
B4,2,mask.100111,4,phone_acc|location|audio|phone_state,phone_gyro|watch_acc,0.551915812672,0.691966408914,0.549752515656,0.132818340776,3
B4,2,mask.101000,2,phone_acc|watch_acc,phone_gyro|location|audio|phone_state,0.453253386705,0.5817278627,0.496723043388,0.177548617759,3
B4,2,mask.101001,3,phone_acc|watch_acc|phone_state,phone_gyro|location|audio,0.560515411803,0.673767539078,0.573686932943,0.148717552017,3
B4,2,mask.101010,3,phone_acc|watch_acc|audio,phone_gyro|location|phone_state,0.540867645567,0.675377198949,0.552367191193,0.135987032188,3
B4,2,mask.101011,4,phone_acc|watch_acc|audio|phone_state,phone_gyro|location,0.576250671944,0.697391741901,0.587047754592,0.133392740447,3
B4,2,mask.101100,3,phone_acc|watch_acc|location,phone_gyro|audio|phone_state,0.483839647795,0.589892407539,0.518663415859,0.173887996271,3
B4,2,mask.101101,4,phone_acc|watch_acc|location|phone_state,phone_gyro|audio,0.58308980839,0.687323366259,0.594116494708,0.139142982315,3
B4,2,mask.101110,4,phone_acc|watch_acc|location|audio,phone_gyro|phone_state,0.551309455098,0.667204259466,0.566719937992,0.137055258817,3
B4,2,mask.101111,5,phone_acc|watch_acc|location|audio|phone_state,phone_gyro,0.593496567517,0.709111158934,0.60540768685,0.126170915967,3
